Date,Time,MC%,Drop
3/29/2019,1:45,9.1,4.42
3/29/2019,1:45,9,3.67
3/29/2019,1:45,8.9,3.58
3/29/2019,3:45,8.8,5.5
3/29/2019,3:45,8.6,4.92
3/29/2019,5:45,9,5.25
3/29/2019,5:45,8.9,6.08
3/29/2019,9:45,8.9,6.33
3/29/2019,9:45,8.9,5.58
3/29/2019,9:45,8.6,5.75
3/29/2019,11:45,8.6,3.67
3/29/2019,11:45,8.7,4.42
3/29/2019,11:45,8.9,4.58
3/29/2019,13:45,8.7,4.75
3/29/2019,13:45,8.5,4.67
3/29/2019,15:45,8.6,5.67
3/29/2019,15:45,8.9,4.67
3/29/2019,15:45,8.7,5.17
3/29/2019,17:45,9,4.67
3/29/2019,17:45,8.8,4
3/29/2019,17:45,9,3.75
3/29/2019,19:45,9.1,5.67
3/29/2019,19:45,9,5.42
3/29/2019,19:45,9.1,4.92
3/29/2019,21:45,9,4.17
3/29/2019,21:45,8.9,4.5
3/29/2019,23:45,8.6,3.67
3/29/2019,23:45,8.8,4.08
3/29/2019,23:45,9,4.08
3/30/2019,1:45,9.2,4.42
3/30/2019,1:45,8.9,4
3/30/2019,3:45,8.9,4.92
3/30/2019,3:45,9,4.33
3/30/2019,3:45,9.1,4.58
3/30/2019,5:45,8.9,4.5
3/30/2019,5:45,8.9,4.42
3/30/2019,9:45,8.8,5.33
3/30/2019,9:45,8.9,5.25
3/30/2019,9:45,9.1,5.33
3/30/2019,13:45,8.9,4.5
4/2/2019,3:45,9,6.08
4/2/2019,3:45,9.3,6.92
4/2/2019,7:45,9,4.5
4/2/2019,9:45,8.5,4.42
4/2/2019,9:45,8.9,3.83
4/2/2019,9:45,8.8,4.33
4/2/2019,11:45,8.7,3.67
4/2/2019,13:45,8.8,3.42
4/2/2019,13:45,8.9,4.5
4/2/2019,13:45,8.8,3.67
4/2/2019,17:45,8.8,4.17
4/2/2019,19:45,9.3,5.58
4/2/2019,21:45,9.5,4.92
4/2/2019,21:45,9.5,5.17
4/2/2019,21:45,9.3,4.83
4/2/2019,23:45,8.6,4.25
4/2/2019,23:45,8.4,4.33
4/2/2019,23:45,8.7,4.33
4/3/2019,1:45,8.5,4.17
4/3/2019,3:45,8.9,4.83
4/3/2019,5:45,9.1,6.33
4/3/2019,5:45,8.9,5.5
4/3/2019,5:45,8.9,5.58
4/3/2019,7:45,8.9,4.67
4/3/2019,7:45,9.4,4.42
4/3/2019,7:45,9.2,4.58
4/3/2019,9:45,9,4.42
4/3/2019,11:45,9.3,4.5
4/3/2019,11:45,9.2,4.5
4/3/2019,11:45,9,4.5
4/3/2019,13:45,9.1,3.67
4/3/2019,13:45,9,3.25
4/3/2019,15:45,9,4.67
4/3/2019,17:45,9.3,5.33
4/3/2019,17:45,9.2,5.25
4/3/2019,17:45,9.8,4.92
4/3/2019,19:45,9,4.5
4/3/2019,19:45,9.1,4.75
